,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
64,Operations,Sharify Adverts,Work From Home,1 Week,2800,Today,['Social Media Marketing'],2800,1,1,0,0,1
65,Digital Marketing,Zedex Info Private Limited,Mumbai,3 Months,10000,Today,"['Effective Communication', 'Email Marketing', 'English Proficiency (Written)']",10000,0,1,0,0,1
66,Campus Ambassador,SciAstra Education Private Limited,Work From Home,2 Months,2000-10000,Today,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",6000,1,1,0,0,1
67,Campus Ambassador,OpeninApp,Work From Home,6 Months,2000-10000,Today,"['Effective Communication', 'English Proficiency (Spoken)', 'Social Media Marketing']",6000,1,1,0,0,1
68,Fundraising Specialist,NayePankh Foundation,Ghaziabad,3 Months,20000,Today,['NOT MENTIONED'],20000,0,0,0,1,1
69,E-commerce Operations,The Sterling Factory,Jaipur,6 Months,7000,Today,"['Canva', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",7000,0,1,0,0,1
70,Corporate Sales,Crabroom LLC,Hyderabad,6 Months,30000-38000,Today,"['Client Relationship', 'LinkedIn Marketing', 'Sales', 'Sales pitch']",34000,0,1,0,0,1
71,Inside Sales,Ascend School Of Construction Business,Bangalore,3 Months,15000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Google Suite (G Suite)']",15000,0,1,0,0,1
72,Virtual Assistance & Management,Tarang Sanghi - Project Eagle,Work From Home,6 Months,5000-10000,Today,"['Effective Communication', 'Google Workspace', 'MS-Office']",7500,1,0,0,0,1
73,Subject Matter Expert (SME),LearnAsYouGo Private Limited,Work From Home,3 Months,6000-12000,Today,"['Mathematics', 'Physics']",9000,1,1,0,1,1
