,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
4658,Business Development (Sales),Goseen Solutions Private Limited,Work From Home,3 Months,5000-8000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales', 'Sales pitch']",6500,1,1,0,0,1
4659,Customer Success,OnlineSales.ai,Work From Home,6 Months,10000,1 week ago,"['Data Analysis', 'Effective Communication', 'MS-Excel']",10000,1,0,0,0,1
4660,Fashion Design And Merchandising,Sakshi Jain,Work From Home,6 Months,10000,1 week ago,"['Adobe Photoshop', 'Creative Writing', 'Effective Communication', 'Fashion Designing', 'Sales', 'Social Media Marketing']",10000,1,1,0,0,1
4661,Human Resources (HR),Exotic Research Centre,Work From Home,1 Month,1000,1 week ago,"['English Proficiency (Spoken)', 'MS-Excel', 'MS-Word', 'Recruitment']",1000,1,1,0,0,1
4662,Inside Sales,Inteliment Technologies,Work From Home,3 Months,10000,1 week ago,['NOT MENTIONED'],10000,1,1,0,0,1
4663,Client Servicing,EmOrg Events,Work From Home,3 Months,10000,1 week ago,['NOT MENTIONED'],10000,1,1,0,0,1
4664,Digital Marketing,AM Tech Networks,Work From Home,6 Months,15000,1 week ago,"['Digital Marketing', 'English Proficiency (Written)', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",15000,1,1,0,0,1
4665,Machine Learning,EEGRAB Services Private Limited,Work From Home,6 Months,8000,1 week ago,['Python'],8000,1,1,1,0,1
4666,WordPress Elementor,Boost India,Work From Home,3 Months,7000-10000,1 week ago,"['UI & UX Design', 'WordPress']",8500,1,0,0,0,1
4667,Architecture,Vogelkop Designs,Work From Home,6 Months,8000,1 week ago,"['3ds Max', 'Adobe Photoshop', 'AutoCAD', 'Autodesk Revit']",8000,1,1,0,0,1
4668,Interior Design,Thaath Design Studio Private Limited,Work From Home,6 Months,3500,1 week ago,"['3ds Max', 'Adobe Photoshop', 'AutoCAD', 'Project Management']",3500,1,1,0,0,1
4669,Human Resources (HR),Tankar Solutions,Work From Home,6 Months,6000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'MS-Office']",6000,1,1,0,0,1
4670,Content Writing,Primathon Technology Ventures Private Limited,Work From Home,6 Months,10000,1 week ago,"['Content Writing', 'Creative Writing', 'English Proficiency (Written)']",10000,1,1,0,0,1
4671,Digital Marketing,Ansumiti Technosoft,Work From Home,4 Months,8000-12000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",10000,1,1,0,0,1
4672,Social Media Marketing,Kikoo (SR Learning Private Limited),Work From Home,2 Months,5000,1 week ago,"['Creative Writing', 'English Proficiency (Written)', 'Instagram Marketing']",5000,1,1,0,0,1
4673,Marketing,Sridipta Research & Development Consultancy,Work From Home,3 Months,10000,1 week ago,['Sales'],10000,1,1,0,0,1
4674,Video Editing/Making,FavTutor,Work From Home,2 Months,10000,1 week ago,"['Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing']",10000,1,1,0,0,1
4675,Talent Acquisition,Hiringz,Work From Home,3 Months,5000,1 week ago,"['American English', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",5000,1,1,0,0,1
4677,Data Entry,Sambodhi,Work From Home,1 Month,10000,1 week ago,"['MS-Excel', 'MS-Word']",10000,1,1,0,0,1
4678,Graphic Design,Instawings India Private Limited,Work From Home,1 Month,15000,1 week ago,"['3ds Max', 'Adobe Illustrator', 'Adobe Photoshop', 'UI & UX Design']",15000,1,1,0,0,1
4679,Campus Ambassador,NEXT IAS,"Jodhpur, Kota, Sikar, Jaipur",2 Months,2000-10000,1 week ago,"['Event Management', 'Marketing']",6000,0,1,0,0,1
4680,Backend Development,Pinkmoon Technologies,Work From Home,6 Months,7500,1 week ago,"['Bootstrap', 'Express.js', 'MySQL', 'Node.js', 'PHP']",7500,1,1,1,0,1
4681,Fundraising Operations,She Can Foundation,Work From Home,1 Month,0,1 week ago,['NOT MENTIONED'],0,1,0,0,1,0
4682,Tele Fundraising,She Can Foundation,Work From Home,1 Month,0,1 week ago,['NOT MENTIONED'],0,1,0,0,1,0
4683,Crowdfunding,She Can Foundation,Work From Home,1 Month,0,1 week ago,['NOT MENTIONED'],0,1,0,0,1,0
4684,Versatile Social Impact,She Can Foundation,Work From Home,4 Weeks,0,1 week ago,['NOT MENTIONED'],0,1,0,0,1,0
4685,Graphic Design,Loansi Consultant Pvt Ltd,Work From Home,6 Months,5000,1 week ago,"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'Video Editing']",5000,1,1,0,0,1
4686,Human Resources (HR),Total Sporting & Fitness Solutions Private Limited,Work From Home,6 Months,7000,1 week ago,"['English Proficiency (Spoken)', 'MS-Excel', 'MS-Word']",7000,1,1,0,0,1
4687,Graphic Design,Li-Ning Studio,Work From Home,3 Months,10000-12000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro']",11000,1,1,0,0,1
4688,Video Editing/Making,Tempest Advertising,Work From Home,5 Months,7000,1 week ago,"['Canva', 'Video Editing']",7000,1,1,0,0,1
4689,Social Media Marketing,Vaishali Bhargav,Work From Home,6 Months,2500,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Colour Theory for Designers', 'CorelDRAW', 'Design Thinking', 'UI & UX Design', 'Video Editing']",2500,1,1,0,0,1
4690,Equity Analyst,Doshi Investment Advisors,Work From Home,2 Months,7500,1 week ago,['Financial Modeling'],7500,1,1,0,0,1
4691,Social Work,NayePankh Foundation,Work From Home,4 Weeks,0,1 week ago,['NOT MENTIONED'],0,1,1,0,1,0
4692,Social Media Management,Aryan Dubey,Work From Home,1 Month,1000-7000,1 week ago,['Social Media Marketing'],4000,1,1,0,0,1
4693,Graphic Design,Pucho Online,Work From Home,6 Months,4000,1 week ago,"['Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Video Editing']",4000,1,1,0,0,1
4694,Company Secretary (CS),Taxmann,Work From Home,24 Months,15000-20000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Labour laws']",17500,1,1,0,0,1
4695,Fashion Design,Designers Concept,Work From Home,3 Months,5000-7000,1 week ago,"['Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Fashion Designing']",6000,1,1,0,0,1
4696,Recruitment Consultant,Clips India Pvt. Ltd.,Work From Home,6 Months,8000,1 week ago,['Effective Communication'],8000,1,1,0,0,1
4697,General Management,DigiBros,Hyderabad,4 Months,12000-18000,1 week ago,"['English Proficiency (Spoken)', 'Market Research', 'MS-Excel', 'MS-PowerPoint', 'Social Media Marketing']",15000,0,1,0,0,1
4698,Social Media Marketing,Sudhakar Joshi,Work From Home,6 Months,10000,1 week ago,"['Facebook Marketing', 'Instagram Marketing', 'LinkedIn Marketing']",10000,1,1,0,0,1
4699,Real Estate Consultant,Real Estate Pundits,Work From Home,3 Months,5000,1 week ago,['Sales'],5000,1,0,0,0,1
4700,Content Writing,Webinfoplace,Work From Home,3 Months,5000-10000,1 week ago,"['Blogging', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",7500,1,1,0,0,1
4701,Digital Marketing,Shivam Parikh,Work From Home,3 Months,2000,1 week ago,"['Canva', 'Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",2000,1,1,0,0,1
4702,Mechanical Engineering,Arcatron Mobility Private Limited,"Pune, Pimpri-Chinchwad",3 Months,21000,1 week ago,"['AutoCAD', 'CAD', 'SolidWorks']",21000,0,1,0,1,1
4703,Event Management,Awesome Entertainment,Work From Home,3 Months,5000-10000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Event Management', 'MS-PowerPoint']",7500,1,1,0,0,1
4704,Social Media Marketing,Adarsh Poddar,Work From Home,1 Month,1000-2000,1 week ago,"['Adobe Photoshop', 'Canva', 'Video Editing']",1500,1,1,0,0,1
4705,Content & E-Commerce Management,UNIABROAD,Work From Home,2 Months,8000,1 week ago,"['Content Writing', 'MS-Excel', 'MS-Office', 'MS-Word']",8000,1,1,0,0,1
4706,Architecture,Consultancy Archiplan,Work From Home,5 Months,10000,1 week ago,"['Adobe Photoshop', 'AutoCAD', 'MS-Office']",10000,1,1,0,0,1
4707,CAD Design,Finulent Solutions LLP,Work From Home,6 Months,7000,1 week ago,['AutoCAD'],7000,1,0,0,0,1
4708,Search Engine Optimization (SEO),Urbot,Work From Home,3 Months,7000-12000,1 week ago,"['Digital Marketing', 'Google AdWords', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",9500,1,1,0,0,1
4709,Computer Operator,K4 Media & Technologies,Work From Home,4 Months,10000,1 week ago,['MS-Office'],10000,1,0,0,1,1
4710,Social Media Marketing,INTERNATIONAL BUSINESS ADVISORS,Work From Home,3 Months,7000,1 week ago,"['Business Research', 'Email Marketing', 'English Proficiency (Written)', 'Japanese Proficiency (Spoken)', 'Japanese Proficiency (Written)', 'Lead Generation']",7000,1,1,0,0,1
4711,Video Editing/Making,Market Research Future Private Limited,Work From Home,3 Months,1000,1 week ago,"['Video Editing', 'Video Making']",1000,1,1,0,0,1
4712,Industrial Design,Anatomech Private Limited,Work From Home,6 Months,8000,1 week ago,"['3ds Max', 'Adobe Illustrator', 'Adobe Photoshop', 'KeyShot', 'Rhino', 'Sketch', 'SolidWorks']",8000,1,0,0,0,1
4713,Accounting & Taxation,Startupefilings,Work From Home,6 Months,6000-8000,1 week ago,['NOT MENTIONED'],7000,1,1,0,0,1
4714,Product Design,Mehzabeen Merchant,Work From Home,6 Months,12000-15000,1 week ago,"['3ds Max', 'AutoCAD']",13500,1,1,0,0,1
4715,Graphic Design,Applicate IT Solutions Private Limited,Gurgaon,3 Months,15000-20000,1 week ago,"['Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Animation', 'CorelDRAW']",17500,0,1,0,0,1
4717,Graphic Design,Set My Meetings,Work From Home,3 Months,7000,1 week ago,"['Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop']",7000,1,1,0,0,1
4718,Graphic Design,Akshahantre Consultancy Services,Work From Home,3 Months,8000,1 week ago,['NOT MENTIONED'],8000,1,1,0,0,1
4719,Hotel Management,Quality And Improvisation,Work From Home,3 Months,2000,1 week ago,"['Effective Communication', 'Sales pitch']",2000,1,0,0,0,1
4720,Social Media Marketing,Window To The Womb - Cardiff,Work From Home,6 Months,10000-15000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']",12500,1,1,0,0,1
4721,Social Media Marketing,Storiyaan,Work From Home,4 Months,4000,1 week ago,['Canva'],4000,1,1,0,0,1
4722,Business Development (Sales),Net Zero Enviro LLP,Work From Home,6 Months,2000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Marathi Proficiency(Spoken)']",2000,1,1,0,0,1
4723,Marketing,Sage Apothecary Private Limited,Work From Home,3 Months,3000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'Social Media Marketing']",3000,1,1,0,0,1
4724,Graphic Design,The Kika,Work From Home,6 Months,5000-8000,1 week ago,"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Video Editing']",6500,1,1,0,0,1
4725,Human Resources (HR),M-Kat Auto LLP,Work From Home,6 Months,8000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word', 'Recruitment']",8000,1,1,0,0,1
4726,Video Editing/Making,Pankaja B,Work From Home,2 Months,1000-5000,1 week ago,['NOT MENTIONED'],3000,1,1,0,0,1
4727,MERN Full Stack Developer,Transfi,Work From Home,3 Months,15000,1 week ago,['JavaScript'],15000,1,0,0,0,1
4728,Graphic Design,Abhinav Global School,Delhi,2 Months,25000-35000,1 week ago,"['Adobe Photoshop', 'CorelDRAW']",30000,0,1,0,0,1
4729,Field Sales,myfollo,Work From Home,3 Months,8000,1 week ago,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']",8000,1,1,0,0,1
4730,Content Writing (Gaming),Android Gram,Work From Home,4 Months,5000,1 week ago,"['Blogging', 'Creative Writing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'WordPress']",5000,1,0,0,0,1
4731,Video Editing/Making,The Social Doctor,Work From Home,3 Months,5000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing', 'Video Making']",5000,1,1,0,0,1
4732,Digital Marketing,myfollo,Work From Home,3 Months,6000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",6000,1,1,0,0,1
4733,Operations,UFaber Edutech,Work From Home,3 Months,8000-12000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",10000,1,1,0,0,1
4734,Lead Generation,Hex Wireless Private Limited,Work From Home,2 Months,10000,1 week ago,['Effective Communication'],10000,1,1,0,1,1
4735,Finance & Accounting,Loom Solar Private Limited,Work From Home,3 Months,8000,1 week ago,['Tally'],8000,1,1,0,0,1
4736,Social Media Marketing,myfollo,Work From Home,3 Months,6000,1 week ago,"['Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",6000,1,1,0,0,1
4737,Corporate Sales,Touchline Technologies Private Limited,Work From Home,6 Months,6000,1 week ago,"['English Proficiency (Spoken)', 'MS-Excel', 'Sales']",6000,1,1,0,0,1
4738,Talent Acquisition,Ziegler Aerospace,Hyderabad,6 Months,10000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'HRIS', 'MS-Excel', 'MS-Office', 'MS-Word', 'Recruitment']",10000,0,1,0,0,1
4739,"Computer Hardware & Networking, Desktop Engineering",Microapple Computers,Work From Home,6 Months,5000,1 week ago,['NOT MENTIONED'],5000,1,0,0,0,1
4740,Fashion Design,RACHANA REDDY,Work From Home,3 Months,3000-8000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Fashion Designing', 'MS-Office']",5500,1,1,0,0,1
4741,Digital Marketing,Tecnoza India,Work From Home,3 Months,5000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,1,1,0,0,1
4742,Law/Legal,Vandan Kumar Singh & Associates,Work From Home,6 Months,4000,1 week ago,"['English Proficiency (Spoken)', 'MS-Office']",4000,1,1,0,0,1
4743,Information Technology,UNIABROAD,Work From Home,2 Months,6000,1 week ago,['Database Testing'],6000,1,1,0,0,1
4744,Human Resources (HR),Code Vyasa,Work From Home,3 Months,8000,1 week ago,"['Effective Communication', 'Problem Solving']",8000,1,1,0,0,1
4745,Video Editing/Making,Boost India,Work From Home,6 Months,6000,1 week ago,"['Video Editing', 'Video Making']",6000,1,1,0,0,1
4746,Video Editing/Making,SuperNova,Work From Home,2 Months,15000,1 week ago,"['Video Editing', 'Video Making']",15000,1,1,0,0,1
4747,Business Development (Sales),InsightAI,Work From Home,2 Months,20000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",20000,1,1,0,0,1
4748,Business Development,Farmachem Life Pvt Ltd,Work From Home,1 Month,5000-7500,1 week ago,['NOT MENTIONED'],6250,1,1,0,0,1
4749,Tech Support,QuickSell,Work From Home,3 Months,7000,1 week ago,"['Amazon Web Services (AWS)', 'Android']",7000,1,0,0,0,1
4750,Graphic Design,Code Driven Labs,Work From Home,3 Months,5000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'CorelDRAW', 'Video Editing']",5000,1,1,0,0,1
4751,Business Strategy,Dinesh Varma,Work From Home,6 Months,5000,1 week ago,"['Business Analysis', 'Business Research', 'English Proficiency (Written)', 'MS-PowerPoint', 'Research and Analytics']",5000,1,1,0,0,1
4752,Human Resources Recruitment,Talent Finer Learning,Work From Home,3 Months,3000,1 week ago,['NOT MENTIONED'],3000,1,0,0,0,1
4753,Digital Marketing,Inciterz,Work From Home,3 Months,10000,1 week ago,"['Facebook Ads', 'Search Engine Optimization (SEO)']",10000,1,1,0,0,1
4754,3D Visualizing,Elements Kitchens And Wardrobes,Work From Home,3 Months,5000,1 week ago,"['3ds Max', 'AutoCAD', 'Google SketchUp']",5000,1,0,0,0,1
4755,Digital Marketing,Sachet Bhatia,Work From Home,2 Months,10000,1 week ago,"['Content Writing', 'Email Marketing', 'LinkedIn Marketing']",10000,1,1,0,0,1
4756,Business Development (Sales),Siveals Digital Private Limited,Work From Home,3 Months,5000,1 week ago,"['Email Marketing', 'English Proficiency (Spoken)', 'MS-Excel', 'Social Media Marketing']",5000,1,1,0,0,1
4757,Business Development (Sales),Velocity Venture,Work From Home,3 Months,2000,1 week ago,"['English Proficiency (Spoken)', 'Lead Generation', 'MS-Excel']",2000,1,1,0,0,1
4758,UPSC Answer Writing And Review,K4 Media & Technologies,Work From Home,1 Month,1000,1 week ago,"['Creative Writing', 'English Proficiency (Written)', 'Facebook Marketing', 'Social Media Marketing', 'WordPress']",1000,1,0,0,1,1
4759,Community Management,K4 Media & Technologies,Work From Home,1 Month,5000,1 week ago,"['Creative Writing', 'English Proficiency (Written)']",5000,1,1,0,1,1
4760,Community Management,K4 Media & Technologies,Work From Home,1 Month,1000,1 week ago,"['Creative Writing', 'English Proficiency (Written)', 'Facebook Marketing', 'Social Media Marketing', 'WordPress']",1000,1,1,0,1,1
4761,Client Servicing,ODN Digital Services Private Limited,Work From Home,3 Months,5000-10000,1 week ago,"['Client Relationship', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Project Management']",7500,1,1,0,0,1
4762,Social Sector (Operations) (Winter Internship),NayePankh Foundation,Work From Home,4 Weeks,0,1 week ago,['NOT MENTIONED'],0,1,0,0,1,0
4763,Artificial Intelligence (AI),Wyr.ai Private Limited,Delhi,6 Months,10000-15000,1 week ago,"['Computer Vision', 'Deep Learning', 'Python']",12500,0,1,1,0,1
4764,Business Analytics,FoodNEST(S) Technologies Private Limited,Work From Home,3 Months,4000,1 week ago,"['Accounting', 'Advanced Excel', 'Business Research', 'Content Writing', 'Culinary Arts', 'Data Analysis', 'Data Analytics', 'Economics', 'Effective Communication', 'English Proficiency (Spoken)', 'Financial Modeling', 'Google Suite (G Suite)', 'Market Analysis', 'Mathematics', 'Negotiation & Problem-solving', 'Research and Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'Statistical Modeling']",4000,1,1,0,0,1
4765,Full Stack Development,Go Digital Technology Consulting,Mumbai,2 Months,15000,1 week ago,"['Amazon Web Services (AWS)', 'AngularJS', 'Hibernate (Java)', 'JavaScript', 'Node.js', 'Python', 'ReactJS', 'Spring MVC']",15000,0,1,1,0,1
4766,Social Media Marketing,Franco Rugs,Work From Home,3 Months,5000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,1,1,0,0,1
4767,Marketing,ActuationAcademy,Work From Home,6 Months,5000,1 week ago,"['Digital Marketing', 'MS-Excel']",5000,1,1,0,0,1
4768,Business Development (Sales),Kushel Digi Solutions,Work From Home,6 Months,10000,1 week ago,['Business Research'],10000,1,1,0,0,1
4769,Content Writing,Guruji Astro,Work From Home,5 Months,4000-5000,1 week ago,"['Blogging', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",4500,1,1,0,1,1
4770,SME - Chemistry (Graduation),QA Solvers,Work From Home,3 Months,15000-20000,1 week ago,"['Chemistry', 'Content Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Subject Matter Expert (SME)']",17500,1,0,0,1,1
4771,Product Marketing,Drafteq,Work From Home,6 Months,10000,1 week ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",10000,1,1,0,0,1
4772,Mathematics Video Solutions (English),QA Solvers,Work From Home,3 Months,8000-15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Mathematics', 'Online Teaching', 'Subject Matter Expert (SME)', 'Teaching']",11500,1,0,0,1,1
4773,Support Assistance,PixalSoft,Work From Home,3 Months,12500,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",12500,1,0,0,0,1
4774,Brand Management,FairDeal.Market,Work From Home,3 Months,10000-15000,1 week ago,"['Advanced Excel', 'Business Analysis', 'English Proficiency (Spoken)', 'MS-Office']",12500,1,1,0,0,1
4775,Digital Marketing,KPAC Marketing,Work From Home,5 Months,6500,1 week ago,"['Digital Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",6500,1,1,0,0,1
4776,Content Writing,Website Vikreta,Work From Home,1 Month,1500,1 week ago,"['Blogging', 'Content Writing', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",1500,1,1,0,0,1
4777,Search Engine Optimization (SEO),Vipin Maurya,Work From Home,6 Months,3000-5000,1 week ago,"['Content Writing', 'Search Engine Optimization (SEO)']",4000,1,1,0,0,1
4778,Client Acquisition,Fin Rise Softech Private Limited,Work From Home,3 Months,10000-12000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",11000,1,1,0,0,1
4779,Human Resources (HR),Constl,Work From Home,6 Months,15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word', 'Recruitment']",15000,1,1,0,0,1
4780,Instagram/YouTube Dance Videos Creation,Mobrevenu,Work From Home,1 Month,10000,1 week ago,['NOT MENTIONED'],10000,1,0,0,0,1
4781,PHP Development,Zedex Info Private Limited,Mumbai,3 Months,12000,1 week ago,"['HTML', 'LARAVEL', 'PHP']",12000,0,1,0,0,1
4782,Graphic Design,Kodekashi,Work From Home,3 Months,5000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Canva']",5000,1,1,0,0,1
4783,Lead Generation,Digilensia,Work From Home,3 Months,5000,1 week ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Ads', 'Google AdWords', 'Google Workspace', 'Instagram Marketing', 'Social Media Marketing']",5000,1,1,0,0,1
4784,Market Research,Goalisb,Work From Home,3 Months,5000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word', 'Research and Analytics']",5000,1,1,0,0,1
4785,Anchoring/Reporting (Entertainment Journalism),The Filmy Reporter,Work From Home,3 Months,5000,1 week ago,"['Anchoring', 'Content Writing', 'Effective Communication', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'Video Making']",5000,1,0,0,0,1
4786,Physics Video Solutions (English),QA Solvers,Work From Home,3 Months,8000-15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Online Teaching', 'Physics', 'Subject Matter Expert (SME)', 'Teaching']",11500,1,0,0,1,1
4787,Data Entry,Zenith World,Work From Home,3 Months,5000-8000,1 week ago,"['Google Analytics', 'MS-Excel']",6500,1,1,0,0,1
4788,Fashion Design,Krimaya,Work From Home,4 Months,6000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Draping', 'Fashion Designing', 'Pattern making']",6000,1,1,0,0,1
4789,Lead Generation,PlacesAroundPune,Work From Home,3 Months,2500,1 week ago,"['Digital Marketing', 'Effective Communication', 'Email Marketing', 'Social Media Marketing']",2500,1,1,0,0,1
4790,Asp.net Development,StepForward Solutions LLP,Work From Home,3 Months,2000-3000,1 week ago,"['.NET', 'ASP.NET', 'C#', 'Model View Controller(MVC)']",2500,1,0,0,0,1
4791,Social Media Marketing,Panaka Consumables,Work From Home,2 Months,2000,1 week ago,"['Instagram Marketing', 'Video Editing', 'Video Making']",2000,1,1,0,0,1
4792,Production,White Background Studio,Work From Home,6 Months,10000,1 week ago,['Effective Communication'],10000,1,0,0,0,1
4793,Content Writing,Kiren Smart Services Private Limited,Work From Home,6 Months,5000-10000,1 week ago,"['Creative Writing', 'English Proficiency (Written)']",7500,1,1,0,0,1
4794,Product Design,REJIG AI RESEARCH,Work From Home,1 Month,10000,1 week ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Figma']",10000,1,1,0,0,1
4795,Content Writing,Mobile Gaming Hub,Work From Home,1 Month,5000,1 week ago,"['Creative Writing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)']",5000,1,1,0,0,1
4796,Law/Legal,Chanpreet Singh,Work From Home,2 Months,0,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",0,1,1,0,0,0
4797,Law/Legal,Lawgical Associates,Work From Home,1 Month,0,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office', 'MS-Word']",0,1,1,0,0,0
4798,Search Engine Optimization (SEO),BroomBoom Transportation Services Private Limited,Work From Home,3 Months,1000,1 week ago,"['Content Writing', 'Digital Marketing', 'English Proficiency (Written)', 'Google AdWords', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",1000,1,1,0,0,1
4799,Recruitment,SkillKart,Work From Home,6 Months,17000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']",17000,1,1,0,0,1
4800,Mechanical Engineering,Effective Management Consultants,Work From Home,6 Months,10000-15000,1 week ago,['NOT MENTIONED'],12500,1,1,0,0,1
4801,Content Writing,"NoteString (San Francisco, United States)",Work From Home,1 Month,10000,1 week ago,"['Blogging', 'Creative Writing', 'English Proficiency (Written)']",10000,1,1,0,0,1
4802,Business Development,Whitefield Careers,Work From Home,3 Months,4000,1 week ago,"['Lead Generation', 'LinkedIn Marketing']",4000,1,1,0,0,1
4803,Finance,Daalchini Technologies,Noida,6 Months,10000,1 week ago,"['Accounting', 'MS-Excel']",10000,0,1,0,0,1
